(MAIZ, QTAD2)
(QTAD2, CCA1)
(CCA1, GDM12)
(GDM12, GU2)
(GU2, CHC2)
(CHC2, PMVA2)
(PMVA2, PDM2)
(PDM2, RAL4)
(RAL4, QTM2)
(QTM2, STLZ3)
(STLZ3, SEND1)
(SEND1, CRTM1)
(CRTM1, ESTR1)
(ESTR1, ZIND3)
(ZIND3, BRRO3)
(BRRO3, PRU1)
(PRU1, AEPT1)
(MCE4, )
(MCE3, MCE4)
(IGRM2, MCE3)
(EQ4, IGRM2)
(PAL6, EQ4)
(HSA1, PAL6)
(CMO, HSA1)
(CMO1, CMO)
(VTO4, CMO1)
(PAL7, VTO4)
(EQ3, PAL7)
(IGRM1, EQ3)
(PASS1, SRLZ1)
(SRLZ1, PING1)
(PING1, DTR)
(DTR, LIEG1)
(LIEG1, CRTO3)
(CRTO3, MLH5)
(MLH5, NEVG1)
(NEVG1, LNEV1)
(LNEV1, RCRT1)
(RCRT1, LGO5)
(LGO5, ABVT2)
(ABVT2, FTM1)
(FTM1, BRV4)
(BRV4, BRP2)
(BRP2, ABM2)
(ABM2, SJB2)
(SJB2, SJBC2)
(SJBC2, ABSS2)
(ABSS2, RBSS2)
(RBSS2, SDP2)
(SDP2, MRS2)
(MRS2, BCM4)
(BCM4, BVBR1)
(BVBR1, HML2)
(HML2, ICDF1)
(ICDF1, CDF1)
(CDF1, PRR7)
(PRR7, TRD5)
(TRD5, AAL1)
(AAL1, AAL4)
(CMP1, PBSS4)
(PBSS4, PCC2)
(PCC2, BFM4)
(BFM4, C24A5)
(C24A5, DJOA4)
(DJOA4, RFZ1)
(RFZ1, MOR2)
(MOR2, ESCN2)
(ESCN2, SI2)
(SI2, AUS)
(AUS, MPL7)
(MPL7, FG1)
(FG1, CONS3)
(CONS3, VFM2)
(VFM2, SVP1)
(SVP1, BVLH1)
(BVLH1, NAT1)
(NAT1, CVI3)
(CVI3, CTS)
(CTS, MLAM)
(MLAM, PREL4)
(PREL4, URBP1)
(URBP1, URBP3)
(URBP3, PREL1)
(PREL1, RM3)
(RM3, JPAZ1)
(JPAZ1, VIS3)
(VIS3, VIS4)
(VIS4, VIS1)
(VIS1, JAZ1)
(JAZ1, BRVS)
(BRVS, RSR1)
(RSR1, AV1)
(AV1, QTL1)
(QTL1, CTV1)
(CTV1, BSEE1)
(CORD1, CMO)
(CMO, HSA3)
